[35, 244, 285, 297], [35, 147, 244, 285]
[28, 32, 61, 130], [28, 32, 61, 115]
[124, 127, 135, 175], [14, 124, 135, 175]
[89, 142, 268, 281], [89, 142, 172, 268]
[21, 22, 153, 155], [21, 22, 27, 155]
[28, 29, 41, 76], [28, 29, 76, 85]
[245, 261, 267, 277], [247, 261, 267, 277]
[4, 47, 85, 108], [4, 42, 47, 85]
[22, 27, 72, 155], [21, 22, 27, 155]
[202, 205, 258, 265], [172, 202, 205, 265]
[145, 166, 268, 269], [166, 268, 269, 276]
[58, 77, 163, 245], [58, 77, 127, 163]
[28, 32, 85, 115], [32, 85, 101, 115]
[28, 32, 85, 115], [32, 85, 115, 130]
[32, 85, 101, 115], [32, 85, 115, 130]
[232, 236, 241, 264], [110, 232, 236, 264]
[21, 22, 27, 155], [21, 22, 27, 323]
[142, 205, 269, 287], [142, 145, 269, 287]
[134, 218, 219, 298], [134, 218, 243, 298]
[85, 101, 115, 130], [32, 85, 101, 115]
[85, 101, 115, 130], [32, 85, 115, 130]
[80, 81, 102, 103], [80, 81, 103, 131]
[133, 258, 288, 303], [258, 265, 288, 303]
[145, 166, 269, 276], [145, 166, 276, 285]
[145, 166, 269, 276], [145, 166, 268, 276]
[145, 166, 276, 285], [145, 166, 268, 276]
[145, 166, 269, 276], [166, 268, 269, 276]
[258, 265, 288, 303], [205, 258, 265, 303]
[145, 166, 276, 285], [144, 145, 166, 285]
[112, 272, 301, 305], [272, 273, 301, 305]
[47, 107, 111, 237], [47, 80, 111, 237]
[82, 83, 163, 186], [82, 83, 127, 186]
[82, 83, 163, 186], [82, 163, 186, 277]
[82, 83, 163, 186], [83, 127, 163, 186]
[30, 58, 186, 193], [30, 58, 82, 193]
[77, 127, 163, 175], [77, 163, 175, 186]
[166, 268, 269, 276], [145, 166, 268, 276]
[72, 80, 81, 326], [71, 72, 80, 81]
[83, 127, 163, 186], [82, 83, 127, 186]
[83, 127, 163, 186], [127, 163, 186, 302]
[9, 202, 287, 292], [9, 202, 287, 291]
[55, 87, 246, 286], [55, 87, 88, 286]
[55, 87, 246, 286], [55, 87, 225, 286]
[55, 87, 88, 286], [55, 87, 225, 286]
[203, 215, 254, 326], [203, 207, 215, 254]
