[213, 264]
[466, 988]
[136, 950]
[115, 705]
[211, 506]
[10, 925]
[437, 915]
[278, 639]
[349, 824]
[130, 919]
[49, 146]
[367, 460]
[675, 850]
[316, 474]
[440, 929]
[54, 141]
[121, 140]
[15, 22]
[285, 802]
[615, 911]
[137, 353]
[8, 549]
[207, 632]
[68, 425]
[65, 464]
[318, 776]
[80, 535]
[422, 981]
[341, 953]
[43, 569]
[525, 798]
[281, 350]
[263, 679]
[183, 338]
[121, 225]
[93, 132]
[543, 594]
[236, 385]
[489, 797]
[18, 70]
[302, 410]
[54, 400]
[8, 440]
[372, 829]
[358, 878]
[220, 243]
[429, 549]
[177, 333]
[389, 457]
[268, 799]
[331, 595]
[19, 251]
[511, 885]
[504, 952]
[654, 768]
[152, 622]
[28, 848]
[410, 539]
[26, 500]
[305, 374]
[203, 347]
[72, 678]
[87, 493]
[128, 187]
[514, 831]
[30, 303]
[190, 220]
[173, 769]
[97, 783]
[309, 352]
[216, 323]
[357, 801]
[29, 230]
[496, 860]
[165, 189]
[254, 915]
[403, 754]
[167, 272]
[296, 673]
[61, 528]
[345, 702]
[423, 677]
[651, 920]
[109, 428]
[211, 378]
[187, 722]
[71, 616]
[36, 407]
[98, 166]
[205, 415]
[118, 887]
[786, 939]
[33, 312]
[3, 371]
[409, 939]
[383, 931]
[3, 140]
[188, 800]
[366, 553]
[124, 256]
[118, 719]
[269, 716]
[86, 477]
[911, 938]
[318, 486]
[357, 812]
[378, 503]
[17, 779]
[385, 886]
[407, 455]
[252, 744]
[94, 741]
[48, 274]
[70, 239]
[139, 189]
[178, 581]
[11, 471]
[9, 701]
[63, 463]
[171, 210]
[395, 422]
[86, 609]
[187, 822]
[465, 703]
[57, 316]
[162, 802]
[316, 597]
[166, 271]
[69, 150]
[73, 278]
[88, 526]
[207, 400]
[2, 835]
[450, 950]
[95, 195]
[401, 755]
[154, 768]
[171, 568]
[451, 873]
[141, 648]
[473, 531]
[189, 263]
[806, 916]
[5, 243]
[510, 785]
[258, 735]
[247, 312]
[264, 292]
[36, 752]
[347, 442]
[862, 928]
[369, 385]
[234, 917]
[324, 714]
[22, 933]
[152, 344]
[60, 222]
[206, 510]
[112, 911]
[236, 238]
[460, 823]
[698, 871]
[298, 767]
[702, 923]
[433, 863]
[533, 642]
[345, 961]
[526, 668]
[612, 747]
[150, 849]
[98, 383]
[297, 516]
[81, 638]
[694, 796]
[394, 817]
[98, 401]
[41, 690]
[186, 574]
[104, 854]
[118, 436]
[311, 970]
[10, 67]
[11, 375]
[50, 720]
[64, 559]
[569, 602]
[97, 187]
[180, 235]
[78, 608]
[321, 634]
[111, 576]
[219, 269]
[446, 997]
[715, 893]
[112, 996]
[381, 620]
[89, 955]
[481, 663]
[15, 249]
[56, 270]
[148, 560]
[335, 539]
[711, 716]
[86, 147]
[224, 228]
[573, 995]
[361, 968]
[230, 654]
[647, 956]
[27, 523]
[244, 534]
[75, 520]
[618, 938]
[930, 996]
[126, 584]
[255, 542]
[83, 783]
[101, 630]
[86, 628]
[682, 971]
[203, 378]
[82, 723]
[108, 551]
[38, 417]
[255, 428]
[56, 418]
[731, 733]
[281, 876]
[52, 594]
[269, 650]
[13, 440]
[792, 850]
[200, 475]
[145, 844]
[490, 543]
[345, 975]
[466, 758]
[443, 862]
[435, 953]
[796, 906]
[124, 889]
[267, 347]
[374, 761]
[541, 661]
[192, 729]
[370, 426]
[865, 938]
[131, 468]
[209, 476]
[134, 256]
[53, 560]
[487, 801]
[109, 378]
[190, 426]
[299, 797]
[134, 355]
[119, 565]
[448, 814]
[209, 583]
[541, 813]
[427, 982]
[326, 878]
[344, 437]
[528, 829]
[518, 763]
[389, 961]
[71, 236]
[56, 287]
[18, 490]
[76, 740]
[436, 459]
[82, 662]
[7, 999]
[230, 787]
[428, 732]
[84, 964]
[663, 931]
[230, 635]
[579, 734]
[122, 728]
[115, 689]
[206, 694]
[204, 625]
[26, 705]
[44, 352]
[81, 936]
[462, 914]
[383, 756]
[35, 51]
[66, 471]
[7, 30]
[249, 795]
[67, 470]
[351, 899]
[150, 835]
[310, 365]
[22, 208]
[670, 828]
[55, 827]
[51, 995]
[190, 312]
[367, 607]
[267, 565]
[198, 693]
[24, 443]
[380, 586]
[273, 349]
[713, 964]
[374, 981]
[364, 562]
[6, 945]
[71, 710]
[489, 634]
[33, 427]
[152, 551]
[39, 791]
[726, 879]
[240, 512]
[372, 874]
[245, 762]
[450, 504]
[106, 704]
[25, 257]
[574, 750]
[22, 967]
[584, 777]
[145, 993]
[63, 504]
[50, 974]
[276, 945]
[339, 746]
[432, 706]
[302, 840]
[116, 459]
[723, 920]
[254, 623]
[111, 621]
[259, 906]
[551, 946]
[825, 856]
[64, 206]
[133, 564]
[270, 748]
[216, 412]
[112, 281]
[452, 751]
[65, 646]
[591, 674]
[502, 844]
[288, 337]
[28, 156]
[51, 431]
[238, 967]
[93, 548]
[331, 665]
[160, 590]
[330, 754]
[562, 688]
[32, 613]
[68, 379]
[108, 143]
[205, 862]
[17, 420]
[12, 664]
[47, 856]
[565, 940]
[174, 632]
[187, 837]
[419, 522]
[610, 672]
[273, 599]
[194, 770]
[533, 942]
[291, 489]
[25, 497]
[210, 845]
[314, 814]
[119, 867]
[4, 157]
[292, 963]
[664, 782]
[24, 952]
[496, 975]
[703, 846]
[225, 867]
[162, 196]
[787, 857]
[35, 196]
[868, 944]
[363, 395]
[576, 657]
[19, 870]
[240, 652]
[43, 182]
[374, 843]
[238, 451]
[263, 944]
[18, 160]
[504, 926]
[144, 531]
[304, 847]
[239, 250]
[4, 166]
[890, 989]
[392, 407]
[301, 928]
[13, 618]
[16, 178]
[24, 38]
[306, 322]
[45, 227]
[3, 592]
[381, 680]
[272, 815]
[405, 501]
[110, 392]
[454, 795]
[547, 960]
[34, 488]
[332, 340]
[28, 204]
[324, 909]
[309, 837]
[13, 164]
[66, 72]
[27, 548]
[618, 766]
[49, 328]
[518, 651]
[113, 126]
[52, 382]
[99, 966]
[64, 684]
[417, 612]
[50, 552]
[23, 659]
[421, 778]
[155, 377]
[229, 735]
[31, 521]
[305, 772]
[419, 426]
[210, 275]
[597, 997]
[12, 141]
[248, 943]
[9, 248]
[752, 898]
[629, 640]
[573, 675]
[387, 854]
[203, 641]
[742, 901]
[90, 575]
[326, 700]
[252, 763]
[59, 444]
[40, 340]
[511, 960]
[367, 941]
[674, 914]
[160, 948]
[16, 68]
[350, 386]
[477, 622]
[185, 263]
[156, 239]
[674, 743]
[127, 776]
[44, 295]
[65, 326]
[487, 634]
[171, 543]
[540, 758]
[203, 420]
[569, 717]
[417, 656]
[28, 613]
[13, 213]
[258, 478]
[38, 210]
[368, 990]
[307, 371]
[108, 122]
[110, 153]
[62, 360]
[47, 572]
[134, 650]
[46, 650]
[27, 589]
[271, 807]
[21, 244]
[371, 849]
[390, 558]
[250, 487]
[263, 436]
[402, 818]
[509, 531]
[345, 934]
[18, 141]
[304, 477]
[23, 954]
[169, 649]
[93, 912]
[405, 433]
[784, 899]
[44, 855]
[365, 686]
[26, 226]
[778, 813]
[282, 670]
[65, 422]
[297, 918]
[232, 839]
[60, 127]
[454, 738]
[399, 463]
[388, 470]
[25, 389]
[124, 373]
[144, 641]
[373, 822]
[8, 588]
[127, 714]
[273, 725]
[259, 572]
[55, 696]
[342, 617]
[17, 508]
[304, 400]
[267, 695]
[745, 858]
[77, 223]
[227, 773]
[30, 323]
[452, 605]
[126, 467]
[85, 192]
[185, 672]
[587, 912]
[472, 755]
[25, 231]
[38, 149]
[550, 577]
[787, 834]
[382, 808]
[857, 992]
[31, 74]
[123, 520]
[47, 790]
[81, 598]
[4, 167]
[4, 132]
[10, 23]
[40, 131]
[97, 201]
[393, 571]
[136, 638]
[580, 950]
[60, 855]
[437, 957]
[231, 407]
[26, 382]
[120, 351]
[558, 718]
[431, 580]
[411, 606]
[320, 382]
[73, 95]
[348, 906]
[202, 542]
[89, 236]
[171, 612]
[174, 473]
[305, 328]
[181, 432]
[55, 224]
[337, 578]
[709, 823]
[93, 749]
[77, 760]
[464, 490]
[296, 580]
[155, 731]
[196, 445]
[390, 515]
[435, 679]
[70, 103]
[322, 486]
[207, 402]
[572, 982]
[52, 86]
[287, 538]
[17, 735]
[205, 784]
[178, 778]
[885, 941]
[265, 279]
[42, 149]
[195, 497]
[79, 305]
[317, 504]
[718, 837]
[14, 272]
[208, 311]
[206, 215]
[546, 558]
[116, 757]
[14, 629]
[305, 453]
[125, 938]
[125, 917]
[406, 1000]
[67, 668]
[203, 331]
[107, 225]
[15, 976]
[139, 603]
[135, 140]
[308, 585]
[566, 645]
[175, 970]
[515, 904]
[209, 274]
[3, 84]
[113, 535]
[400, 502]
[620, 721]
[500, 920]
[303, 554]
[747, 804]
[529, 810]
[52, 772]
[466, 800]
[685, 698]
[613, 807]
[82, 550]
[103, 122]
[289, 994]
[334, 491]
[73, 921]
[151, 572]
[324, 743]
[81, 628]
[187, 223]
[96, 893]
[299, 663]
[46, 67]
[331, 440]
[249, 394]
[197, 882]
[289, 354]
[266, 334]
[37, 189]
[6, 71]
[211, 693]
[174, 765]
[462, 546]
[136, 304]
[637, 698]
[107, 263]
[594, 875]
[98, 111]
[295, 715]
[199, 905]
[175, 223]
[83, 323]
[505, 947]
[192, 583]
[56, 895]
[313, 789]
[469, 495]
[16, 314]
[540, 746]
[115, 562]
[81, 493]
[337, 781]
[85, 476]
[214, 642]
[9, 856]
[339, 670]
[600, 680]
[61, 854]
[340, 470]
[497, 632]
[625, 894]
[6, 397]
[387, 614]
[258, 427]
[587, 852]
[511, 774]
[322, 458]
[566, 924]
[364, 897]
[301, 794]
[155, 921]
[2, 134]
[6, 354]
[249, 395]
[449, 949]
[150, 280]
[135, 358]
[513, 581]
[232, 757]
[348, 635]
[70, 198]
[904, 969]
[21, 618]
[174, 379]
[43, 421]
[241, 314]
[426, 718]
[98, 288]
[246, 860]
[396, 992]
[152, 911]
[113, 474]
[63, 211]
[259, 618]
[104, 370]
[114, 246]
[59, 168]
[668, 969]
[246, 732]
[21, 501]
[166, 571]
[58, 809]
[144, 702]
[490, 772]
[245, 960]
[214, 912]
[296, 829]
[122, 252]
[310, 706]
[324, 521]
[104, 815]
[151, 468]
[226, 940]
[31, 175]
[7, 946]
[153, 901]
[157, 180]
[55, 186]
[146, 181]
[8, 605]
[446, 586]
[376, 387]
[82, 86]
[161, 510]
[115, 722]
[15, 114]
[265, 316]
[102, 853]
[185, 664]
[317, 580]
[519, 874]
[14, 467]
[188, 351]
[159, 523]
[445, 483]
[15, 745]
[544, 701]
[94, 991]
[110, 494]
[29, 183]
[673, 798]
[270, 949]
[697, 791]
[478, 852]
[387, 741]
[109, 615]
[531, 907]
[372, 458]
[83, 701]
[138, 786]
[77, 555]
[220, 291]
[177, 607]
[27, 777]
[460, 910]
[182, 678]
[363, 471]
[321, 922]
[176, 851]
[513, 742]
[406, 498]
[95, 326]
[299, 853]
[147, 220]
[454, 569]
[77, 564]
[676, 729]
[21, 297]
[538, 793]
[286, 866]
[898, 963]
[283, 534]
[241, 691]
[68, 78]
[283, 645]
[52, 109]
[413, 678]
[218, 847]
[830, 978]
[428, 636]
[462, 807]
[213, 902]
[480, 990]
[161, 641]
[482, 869]
[90, 948]
[532, 849]
[17, 292]
[29, 40]
[198, 266]
[37, 336]
[57, 614]
[384, 515]
[484, 753]
[37, 752]
[306, 332]
[234, 356]
[14, 57]
[528, 689]
[12, 254]
[128, 505]
[329, 338]
[33, 83]
[14, 129]
[163, 277]
[265, 327]
[139, 383]
[242, 507]
[32, 84]
[133, 352]
[21, 361]
[88, 125]
[116, 928]
[36, 694]
[369, 681]
[77, 232]
[290, 362]
[286, 459]
[13, 602]
[69, 596]
[2, 21]
[143, 164]
[516, 784]
[63, 330]
[91, 723]
[129, 200]
[149, 215]
[222, 524]
[493, 575]
[630, 736]
[181, 185]
[50, 859]
[403, 766]
[765, 781]
[358, 577]
[144, 923]
[399, 922]
[685, 893]
[447, 704]
[119, 591]
[51, 164]
[105, 922]
[138, 487]
[120, 170]
[414, 714]
[116, 134]
[585, 846]
[156, 939]
[309, 317]
[99, 444]
[16, 804]
[111, 349]
[516, 882]
[515, 722]
[476, 660]
[29, 368]
[289, 883]
[294, 962]
[495, 617]
[114, 981]
[767, 838]
[451, 878]
[17, 64]
[11, 570]
[137, 963]
[149, 656]
[33, 132]
[143, 227]
[140, 710]
[182, 327]
[471, 486]
[439, 692]
[19, 900]
[23, 274]
[11, 771]
[108, 518]
[391, 455]
[224, 488]
[80, 109]
[158, 560]
[96, 276]
[36, 325]
[42, 317]
[22, 202]
[85, 657]
[30, 965]
[45, 730]
[255, 396]
[3, 381]
[159, 547]
[860, 984]
[441, 637]
[17, 81]
[7, 587]
[31, 490]
[528, 910]
[62, 491]
[100, 383]
[218, 978]
[176, 432]
[522, 826]
[916, 998]
[335, 916]
[444, 958]
[468, 727]
[59, 398]
[11, 479]
[39, 172]
[78, 180]
[597, 850]
[52, 657]
[272, 693]
[163, 755]
[889, 985]
[362, 967]
[1, 561]
[189, 898]
[80, 633]
[216, 659]
[27, 184]
[7, 368]
[310, 600]
[629, 725]
[137, 459]
[162, 266]
[282, 438]
[625, 909]
[674, 762]
[122, 204]
[19, 456]
[826, 900]
[751, 815]
[818, 831]
[53, 937]
[117, 507]
[771, 841]
[589, 823]
[13, 224]
[226, 777]
[244, 411]
[482, 502]
[33, 103]
[556, 672]
[66, 574]
[526, 985]
[159, 601]
[369, 956]
[209, 832]
[227, 424]
[83, 369]
[724, 725]
[408, 897]
[541, 923]
[68, 602]
[360, 877]
[56, 143]
[358, 854]
[30, 60]
[347, 527]
[240, 478]
[99, 261]
[160, 502]
[61, 761]
[179, 579]
[163, 898]
[249, 501]
[505, 824]
[294, 331]
[74, 593]
[30, 665]
[356, 624]
[139, 889]
[12, 633]
[25, 179]
[418, 494]
[254, 616]
[169, 774]
[75, 879]
[20, 785]
[390, 635]
[609, 655]
[154, 997]
[366, 953]
[17, 600]
[174, 239]
[318, 528]
[209, 261]
[123, 568]
[545, 662]
[625, 781]
[206, 677]
[46, 125]
[319, 372]
[119, 415]
[73, 727]
[125, 824]
[264, 880]
[327, 823]
[640, 762]
[145, 159]
[83, 548]
[32, 600]
[122, 177]
[235, 742]
[38, 628]
[336, 613]
[153, 707]
[408, 611]
[20, 234]
[638, 787]
[50, 354]
[6, 438]
[509, 703]
[535, 659]
[75, 202]
[16, 865]
[213, 486]
[106, 622]
[841, 976]
[137, 342]
[529, 821]
[182, 519]
[614, 709]
[324, 420]
[192, 949]
[257, 816]
[493, 578]
[260, 268]
[101, 308]
[83, 682]
[376, 803]
[225, 577]
[239, 671]
[117, 253]
[108, 164]
[462, 656]
[348, 851]
[89, 639]
[63, 450]
[748, 925]
[408, 730]
[142, 832]
[38, 394]
[214, 904]
[104, 474]
[70, 871]
[126, 658]
[621, 747]
[248, 514]
[349, 820]
[239, 578]
[94, 134]
[20, 453]
[98, 530]
[101, 801]
[386, 570]
[346, 548]
[731, 874]
[35, 567]
[154, 811]
[16, 350]
[123, 694]
[217, 711]
[67, 589]
[485, 748]
[65, 320]
[113, 253]
[270, 795]
[287, 923]
[623, 961]
[58, 342]
[280, 644]
[279, 427]
[448, 583]
[262, 956]
[566, 669]
[173, 770]
[601, 979]
[79, 677]
[138, 218]
[368, 417]
[112, 951]
[177, 465]
[49, 90]
[188, 353]
[14, 699]
[230, 325]
[386, 612]
[524, 925]
[128, 189]
[575, 630]
[355, 380]
[101, 507]
[523, 774]
[131, 738]
[399, 595]
[34, 538]
[135, 232]
[69, 395]
[217, 521]
[211, 282]
[29, 138]
[203, 825]
[28, 106]
[776, 892]
[11, 260]
[354, 955]
[6, 684]
[71, 827]
[620, 767]
[143, 793]
[45, 196]
[290, 882]
[64, 328]
[280, 996]
[136, 765]
[168, 729]
[390, 427]
[264, 500]
[168, 450]
[158, 375]
[333, 767]
[12, 313]
[360, 706]
[51, 793]
[268, 954]
[102, 700]
[300, 566]
[186, 443]
[197, 587]
[216, 780]
[94, 322]
[31, 507]
[248, 340]
[3, 163]
[25, 111]
[218, 306]
[376, 588]
[287, 812]
[320, 392]
[671, 896]
[371, 382]
[2, 180]
[828, 830]
[343, 726]
[121, 957]
[590, 808]
[472, 979]
[430, 672]
[157, 250]
[233, 807]
[94, 151]
[84, 339]
[60, 517]
[133, 294]
[53, 131]
[42, 759]
[379, 880]
[414, 999]
[66, 708]
[624, 880]
[84, 100]
[147, 532]
[18, 878]
[95, 374]
[909, 926]
[584, 828]
[177, 437]
[39, 289]
[58, 316]
[488, 864]
[141, 871]
[702, 951]
[256, 932]
[475, 512]
[323, 990]
[571, 875]
[119, 259]
