[65, 117], [8, 65]
[65, 101], [65, 121]
[65, 101], [65, 230]
[65, 101], [37, 65]
[65, 101], [28, 65]
[65, 101], [36, 65]
[65, 101], [16, 65]
[65, 101], [33, 65]
[65, 101], [65, 76]
[65, 101], [65, 131]
[65, 101], [41, 65]
[65, 101], [32, 65]
[65, 101], [65, 70]
[4, 65], [38, 65]
[4, 65], [65, 182]
[4, 65], [65, 108]
[4, 65], [65, 147]
[4, 65], [61, 65]
[4, 65], [65, 312]
[4, 65], [65, 77]
[4, 65], [65, 225]
[4, 65], [65, 93]
[4, 65], [65, 127]
[4, 65], [65, 115]
[4, 65], [65, 100]
[4, 65], [29, 65]
[4, 65], [65, 97]
[4, 65], [65, 217]
[4, 65], [49, 65]
[4, 65], [65, 130]
[4, 65], [65, 174]
[4, 65], [65, 94]
[4, 65], [53, 65]
[4, 65], [65, 116]
[4, 65], [64, 65]
[4, 65], [65, 114]
[4, 65], [65, 121]
[4, 65], [65, 230]
[4, 65], [37, 65]
[4, 65], [28, 65]
[4, 65], [36, 65]
[4, 65], [16, 65]
[4, 65], [33, 65]
[4, 65], [65, 76]
[4, 65], [65, 131]
[4, 65], [41, 65]
[4, 65], [32, 65]
[4, 65], [65, 70]
[38, 65], [65, 182]
[38, 65], [65, 108]
[38, 65], [65, 147]
[38, 65], [61, 65]
[38, 65], [65, 312]
[38, 65], [65, 77]
[38, 65], [65, 225]
[38, 65], [65, 93]
[38, 65], [65, 127]
[38, 65], [65, 115]
[38, 65], [65, 100]
[38, 65], [29, 65]
[38, 65], [65, 97]
[38, 65], [65, 217]
[38, 65], [49, 65]
[38, 65], [65, 130]
[38, 65], [65, 174]
[38, 65], [65, 94]
[38, 65], [53, 65]
[38, 65], [65, 116]
[38, 65], [64, 65]
[38, 65], [65, 114]
[38, 65], [65, 121]
[38, 65], [65, 230]
[38, 65], [37, 65]
[38, 65], [28, 65]
[38, 65], [36, 65]
[38, 65], [16, 65]
[38, 65], [33, 65]
[38, 65], [65, 76]
[38, 65], [65, 131]
[38, 65], [41, 65]
[38, 65], [32, 65]
[38, 65], [65, 70]
[65, 182], [65, 108]
[65, 182], [65, 147]
[65, 182], [61, 65]
[65, 182], [65, 312]
[65, 182], [65, 77]
[65, 182], [65, 225]
[65, 182], [65, 93]
[65, 182], [65, 127]
[65, 182], [65, 115]
[65, 182], [65, 100]
[65, 182], [29, 65]
[65, 182], [65, 97]
[65, 182], [65, 217]
[65, 182], [49, 65]
[65, 182], [65, 130]
[65, 182], [65, 174]
[65, 182], [65, 94]
[65, 182], [53, 65]
[65, 182], [65, 116]
[65, 182], [64, 65]
[65, 182], [65, 114]
[65, 182], [65, 121]
[65, 182], [65, 230]
[65, 182], [37, 65]
[65, 182], [28, 65]
[65, 182], [36, 65]
[65, 182], [16, 65]
[65, 182], [33, 65]
[65, 182], [65, 76]
[65, 182], [65, 131]
[65, 182], [41, 65]
[65, 182], [32, 65]
[65, 182], [65, 70]
[65, 108], [65, 147]
[65, 108], [61, 65]
[65, 108], [65, 312]
[65, 108], [65, 77]
[65, 108], [65, 225]
[65, 108], [65, 93]
[65, 108], [65, 127]
[65, 108], [65, 115]
[65, 108], [65, 100]
[65, 108], [29, 65]
[65, 108], [65, 97]
[65, 108], [65, 217]
[65, 108], [49, 65]
[65, 108], [65, 130]
[65, 108], [65, 174]
[65, 108], [65, 94]
[65, 108], [53, 65]
[65, 108], [65, 116]
[65, 108], [64, 65]
[65, 108], [65, 114]
[65, 108], [65, 121]
[65, 108], [65, 230]
[65, 108], [37, 65]
[65, 108], [28, 65]
[65, 108], [36, 65]
[65, 108], [16, 65]
[65, 108], [33, 65]
[65, 108], [65, 76]
[65, 108], [65, 131]
[65, 108], [41, 65]
[65, 108], [32, 65]
[65, 108], [65, 70]
[65, 147], [61, 65]
[65, 147], [65, 312]
[65, 147], [65, 77]
[65, 147], [65, 225]
[65, 147], [65, 93]
[65, 147], [65, 127]
[65, 147], [65, 115]
[65, 147], [65, 100]
[65, 147], [29, 65]
[65, 147], [65, 97]
[65, 147], [65, 217]
[65, 147], [49, 65]
[65, 147], [65, 130]
[65, 147], [65, 174]
[65, 147], [65, 94]
[65, 147], [53, 65]
[65, 147], [65, 116]
[65, 147], [64, 65]
[65, 147], [65, 114]
[65, 147], [65, 121]
[65, 147], [65, 230]
[65, 147], [37, 65]
[65, 147], [28, 65]
[65, 147], [36, 65]
[65, 147], [16, 65]
[65, 147], [33, 65]
[65, 147], [65, 76]
[65, 147], [65, 131]
[65, 147], [41, 65]
[65, 147], [32, 65]
[65, 147], [65, 70]
[61, 65], [65, 312]
[61, 65], [65, 77]
[61, 65], [65, 225]
[61, 65], [65, 93]
[61, 65], [65, 127]
[61, 65], [65, 115]
[61, 65], [65, 100]
[61, 65], [29, 65]
[61, 65], [65, 97]
[61, 65], [65, 217]
[61, 65], [49, 65]
[61, 65], [65, 130]
[61, 65], [65, 174]
[61, 65], [65, 94]
[61, 65], [53, 65]
[61, 65], [65, 116]
[61, 65], [64, 65]
[61, 65], [65, 114]
[61, 65], [65, 121]
[61, 65], [65, 230]
[61, 65], [37, 65]
[61, 65], [28, 65]
[61, 65], [36, 65]
[61, 65], [16, 65]
[61, 65], [33, 65]
[61, 65], [65, 76]
[61, 65], [65, 131]
[61, 65], [41, 65]
[61, 65], [32, 65]
[61, 65], [65, 70]
[65, 312], [65, 77]
[65, 312], [65, 225]
[65, 312], [65, 93]
[65, 312], [65, 127]
[65, 312], [65, 115]
[65, 312], [65, 100]
[65, 312], [29, 65]
[65, 312], [65, 97]
[65, 312], [65, 217]
[65, 312], [49, 65]
[65, 312], [65, 130]
[65, 312], [65, 174]
[65, 312], [65, 94]
[65, 312], [53, 65]
[65, 312], [65, 116]
[65, 312], [64, 65]
[65, 312], [65, 114]
[65, 312], [65, 121]
[65, 312], [65, 230]
[65, 312], [37, 65]
[65, 312], [28, 65]
[65, 312], [36, 65]
[65, 312], [16, 65]
[65, 312], [33, 65]
[65, 312], [65, 76]
[65, 312], [65, 131]
[65, 312], [41, 65]
[65, 312], [32, 65]
[65, 312], [65, 70]
[65, 77], [65, 225]
[65, 77], [65, 93]
[65, 77], [65, 127]
[65, 77], [65, 115]
[65, 77], [65, 100]
[65, 77], [29, 65]
[65, 77], [65, 97]
[65, 77], [65, 217]
[65, 77], [49, 65]
[65, 77], [65, 130]
[65, 77], [65, 174]
[65, 77], [65, 94]
[65, 77], [53, 65]
[65, 77], [65, 116]
[65, 77], [64, 65]
[65, 77], [65, 114]
[65, 77], [65, 121]
[65, 77], [65, 230]
[65, 77], [37, 65]
[65, 77], [28, 65]
[65, 77], [36, 65]
[65, 77], [16, 65]
[65, 77], [33, 65]
[65, 77], [65, 76]
[65, 77], [65, 131]
[65, 77], [41, 65]
[65, 77], [32, 65]
[65, 77], [65, 70]
[65, 225], [65, 93]
[65, 225], [65, 127]
[65, 225], [65, 115]
[65, 225], [65, 100]
[65, 225], [29, 65]
[65, 225], [65, 97]
[65, 225], [65, 217]
[65, 225], [49, 65]
[65, 225], [65, 130]
[65, 225], [65, 174]
[65, 225], [65, 94]
[65, 225], [53, 65]
[65, 225], [65, 116]
[65, 225], [64, 65]
[65, 225], [65, 114]
[65, 225], [65, 121]
[65, 225], [65, 230]
[65, 225], [37, 65]
[65, 225], [28, 65]
[65, 225], [36, 65]
[65, 225], [16, 65]
[65, 225], [33, 65]
[65, 225], [65, 76]
[65, 225], [65, 131]
[65, 225], [41, 65]
[65, 225], [32, 65]
[65, 225], [65, 70]
[65, 93], [65, 127]
[65, 93], [65, 115]
[65, 93], [65, 100]
[65, 93], [29, 65]
[65, 93], [65, 97]
[65, 93], [65, 217]
[65, 93], [49, 65]
[65, 93], [65, 130]
[65, 93], [65, 174]
[65, 93], [65, 94]
[65, 93], [53, 65]
[65, 93], [65, 116]
[65, 93], [64, 65]
[65, 93], [65, 114]
[65, 93], [65, 121]
[65, 93], [65, 230]
[65, 93], [37, 65]
[65, 93], [28, 65]
[65, 93], [36, 65]
[65, 93], [16, 65]
[65, 93], [33, 65]
[65, 93], [65, 76]
[65, 93], [65, 131]
[65, 93], [41, 65]
[65, 93], [32, 65]
[65, 93], [65, 70]
[65, 127], [65, 115]
[65, 127], [65, 100]
[65, 127], [29, 65]
[65, 127], [65, 97]
[65, 127], [65, 217]
[65, 127], [49, 65]
[65, 127], [65, 130]
[65, 127], [65, 174]
[65, 127], [65, 94]
[65, 127], [53, 65]
[65, 127], [65, 116]
[65, 127], [64, 65]
[65, 127], [65, 114]
[65, 127], [65, 121]
[65, 127], [65, 230]
[65, 127], [37, 65]
[65, 127], [28, 65]
[65, 127], [36, 65]
[65, 127], [16, 65]
[65, 127], [33, 65]
[65, 127], [65, 76]
[65, 127], [65, 131]
[65, 127], [41, 65]
[65, 127], [32, 65]
[65, 127], [65, 70]
[65, 115], [65, 100]
[65, 115], [29, 65]
[65, 115], [65, 97]
[65, 115], [65, 217]
[65, 115], [49, 65]
[65, 115], [65, 130]
[65, 115], [65, 174]
[65, 115], [65, 94]
[65, 115], [53, 65]
[65, 115], [65, 116]
[65, 115], [64, 65]
[65, 115], [65, 114]
[65, 115], [65, 121]
[65, 115], [65, 230]
[65, 115], [37, 65]
[65, 115], [28, 65]
[65, 115], [36, 65]
[65, 115], [16, 65]
[65, 115], [33, 65]
[65, 115], [65, 76]
[65, 115], [65, 131]
[65, 115], [41, 65]
[65, 115], [32, 65]
[65, 115], [65, 70]
[65, 100], [29, 65]
[65, 100], [65, 97]
[65, 100], [65, 217]
[65, 100], [49, 65]
[65, 100], [65, 130]
[65, 100], [65, 174]
[65, 100], [65, 94]
[65, 100], [53, 65]
[65, 100], [65, 116]
[65, 100], [64, 65]
[65, 100], [65, 114]
[65, 100], [65, 121]
[65, 100], [65, 230]
[65, 100], [37, 65]
[65, 100], [28, 65]
[65, 100], [36, 65]
[65, 100], [16, 65]
[65, 100], [33, 65]
[65, 100], [65, 76]
[65, 100], [65, 131]
[65, 100], [41, 65]
[65, 100], [32, 65]
[65, 100], [65, 70]
[29, 65], [65, 97]
[29, 65], [65, 217]
[29, 65], [49, 65]
[29, 65], [65, 130]
[29, 65], [65, 174]
[29, 65], [65, 94]
[29, 65], [53, 65]
[29, 65], [65, 116]
[29, 65], [64, 65]
[29, 65], [65, 114]
[29, 65], [65, 121]
[29, 65], [65, 230]
[29, 65], [37, 65]
[29, 65], [28, 65]
[29, 65], [36, 65]
[29, 65], [16, 65]
[29, 65], [33, 65]
[29, 65], [65, 76]
[29, 65], [65, 131]
[29, 65], [41, 65]
[29, 65], [32, 65]
[29, 65], [65, 70]
[65, 97], [65, 217]
[65, 97], [49, 65]
[65, 97], [65, 130]
[65, 97], [65, 174]
[65, 97], [65, 94]
[65, 97], [53, 65]
[65, 97], [65, 116]
[65, 97], [64, 65]
[65, 97], [65, 114]
[65, 97], [65, 121]
[65, 97], [65, 230]
[65, 97], [37, 65]
[65, 97], [28, 65]
[65, 97], [36, 65]
[65, 97], [16, 65]
[65, 97], [33, 65]
[65, 97], [65, 76]
[65, 97], [65, 131]
[65, 97], [41, 65]
[65, 97], [32, 65]
[65, 97], [65, 70]
[65, 217], [49, 65]
[65, 217], [65, 130]
[65, 217], [65, 174]
[65, 217], [65, 94]
[65, 217], [53, 65]
[65, 217], [65, 116]
[65, 217], [64, 65]
[65, 217], [65, 114]
[65, 217], [65, 121]
[65, 217], [65, 230]
[65, 217], [37, 65]
[65, 217], [28, 65]
[65, 217], [36, 65]
[65, 217], [16, 65]
[65, 217], [33, 65]
[65, 217], [65, 76]
[65, 217], [65, 131]
[65, 217], [41, 65]
[65, 217], [32, 65]
[65, 217], [65, 70]
[49, 65], [65, 130]
[49, 65], [65, 174]
[49, 65], [65, 94]
[49, 65], [53, 65]
[49, 65], [65, 116]
[49, 65], [64, 65]
[49, 65], [65, 114]
[49, 65], [65, 121]
[49, 65], [65, 230]
[49, 65], [37, 65]
[49, 65], [28, 65]
[49, 65], [36, 65]
[49, 65], [16, 65]
[49, 65], [33, 65]
[49, 65], [65, 76]
[49, 65], [65, 131]
[49, 65], [41, 65]
[49, 65], [32, 65]
[49, 65], [65, 70]
[65, 130], [65, 174]
[65, 130], [65, 94]
[65, 130], [53, 65]
[65, 130], [65, 116]
[65, 130], [64, 65]
[65, 130], [65, 114]
[65, 130], [65, 121]
[65, 130], [65, 230]
[65, 130], [37, 65]
[65, 130], [28, 65]
[65, 130], [36, 65]
[65, 130], [16, 65]
[65, 130], [33, 65]
[65, 130], [65, 76]
[65, 130], [65, 131]
[65, 130], [41, 65]
[65, 130], [32, 65]
[65, 130], [65, 70]
[65, 174], [65, 94]
[65, 174], [53, 65]
[65, 174], [65, 116]
[65, 174], [64, 65]
[65, 174], [65, 114]
[65, 174], [65, 121]
[65, 174], [65, 230]
[65, 174], [37, 65]
[65, 174], [28, 65]
[65, 174], [36, 65]
[65, 174], [16, 65]
[65, 174], [33, 65]
[65, 174], [65, 76]
[65, 174], [65, 131]
[65, 174], [41, 65]
[65, 174], [32, 65]
[65, 174], [65, 70]
[65, 94], [53, 65]
[65, 94], [65, 116]
[65, 94], [64, 65]
[65, 94], [65, 114]
[65, 94], [65, 121]
[65, 94], [65, 230]
[65, 94], [37, 65]
[65, 94], [28, 65]
[65, 94], [36, 65]
[65, 94], [16, 65]
[65, 94], [33, 65]
[65, 94], [65, 76]
[65, 94], [65, 131]
[65, 94], [41, 65]
[65, 94], [32, 65]
[65, 94], [65, 70]
[53, 65], [65, 116]
[53, 65], [64, 65]
[53, 65], [65, 114]
[53, 65], [65, 121]
[53, 65], [65, 230]
[53, 65], [37, 65]
[53, 65], [28, 65]
[53, 65], [36, 65]
[53, 65], [16, 65]
[53, 65], [33, 65]
[53, 65], [65, 76]
[53, 65], [65, 131]
[53, 65], [41, 65]
[53, 65], [32, 65]
[53, 65], [65, 70]
[65, 116], [64, 65]
[65, 116], [65, 114]
[65, 116], [65, 121]
[65, 116], [65, 230]
[65, 116], [37, 65]
[65, 116], [28, 65]
[65, 116], [36, 65]
[65, 116], [16, 65]
[65, 116], [33, 65]
[65, 116], [65, 76]
[65, 116], [65, 131]
[65, 116], [41, 65]
[65, 116], [32, 65]
[65, 116], [65, 70]
[64, 65], [65, 114]
[64, 65], [65, 121]
[64, 65], [65, 230]
[64, 65], [37, 65]
[64, 65], [28, 65]
[64, 65], [36, 65]
[64, 65], [16, 65]
[64, 65], [33, 65]
[64, 65], [65, 76]
[64, 65], [65, 131]
[64, 65], [41, 65]
[64, 65], [32, 65]
[64, 65], [65, 70]
[65, 114], [65, 121]
[65, 114], [65, 230]
[65, 114], [37, 65]
[65, 114], [28, 65]
[65, 114], [36, 65]
[65, 114], [16, 65]
[65, 114], [33, 65]
[65, 114], [65, 76]
[65, 114], [65, 131]
[65, 114], [41, 65]
[65, 114], [32, 65]
[65, 114], [65, 70]
[65, 121], [65, 230]
[65, 121], [37, 65]
[65, 121], [28, 65]
[65, 121], [36, 65]
[65, 121], [16, 65]
[65, 121], [33, 65]
[65, 121], [65, 76]
[65, 121], [65, 131]
[65, 121], [41, 65]
[65, 121], [32, 65]
[65, 121], [65, 70]
[65, 230], [37, 65]
[65, 230], [28, 65]
[65, 230], [36, 65]
[65, 230], [16, 65]
[65, 230], [33, 65]
[65, 230], [65, 76]
[65, 230], [65, 131]
[65, 230], [41, 65]
[65, 230], [32, 65]
[65, 230], [65, 70]
[37, 65], [28, 65]
[37, 65], [36, 65]
[37, 65], [16, 65]
[37, 65], [33, 65]
[37, 65], [65, 76]
[37, 65], [65, 131]
[37, 65], [41, 65]
[37, 65], [32, 65]
[37, 65], [65, 70]
[28, 65], [36, 65]
[28, 65], [16, 65]
[28, 65], [33, 65]
[28, 65], [65, 76]
[28, 65], [65, 131]
[28, 65], [41, 65]
[28, 65], [32, 65]
[28, 65], [65, 70]
[36, 65], [16, 65]
[36, 65], [33, 65]
[36, 65], [65, 76]
[36, 65], [65, 131]
[36, 65], [41, 65]
[36, 65], [32, 65]
[36, 65], [65, 70]
[16, 65], [33, 65]
[16, 65], [65, 76]
[16, 65], [65, 131]
[16, 65], [41, 65]
[16, 65], [32, 65]
[16, 65], [65, 70]
[33, 65], [65, 76]
[33, 65], [65, 131]
[33, 65], [41, 65]
[33, 65], [32, 65]
[33, 65], [65, 70]
[65, 76], [65, 131]
[65, 76], [41, 65]
[65, 76], [32, 65]
[65, 76], [65, 70]
[65, 131], [41, 65]
[65, 131], [32, 65]
[65, 131], [65, 70]
[41, 65], [32, 65]
[41, 65], [65, 70]
[32, 65], [65, 70]
[65, 117], [91, 117]
[65, 117], [114, 117]
[65, 117], [117, 250]
[65, 117], [101, 117]
[65, 117], [49, 117]
[65, 117], [107, 117]
[65, 117], [117, 178]
[65, 117], [48, 117]
[65, 117], [64, 117]
[65, 117], [17, 117]
[65, 117], [32, 117]
[65, 117], [117, 173]
[65, 117], [117, 132]
[65, 117], [16, 117]
[65, 117], [117, 290]
[65, 117], [70, 117]
[65, 117], [76, 117]
[65, 117], [36, 117]
[65, 117], [117, 130]
[65, 117], [55, 117]
[65, 117], [116, 117]
[65, 117], [117, 121]
[65, 117], [117, 227]
[65, 117], [97, 117]
[65, 117], [28, 117]
[65, 117], [41, 117]
[65, 117], [117, 125]
[65, 117], [115, 117]
[65, 117], [61, 117]
[65, 117], [33, 117]
[65, 117], [94, 117]
[65, 117], [117, 126]
[65, 117], [117, 127]
[65, 117], [38, 117]
[65, 117], [4, 117]
[65, 117], [29, 117]
[65, 117], [47, 117]
[91, 117], [114, 117]
[91, 117], [117, 250]
[91, 117], [101, 117]
[91, 117], [49, 117]
[91, 117], [107, 117]
[91, 117], [117, 178]
[91, 117], [48, 117]
[91, 117], [64, 117]
[91, 117], [17, 117]
[91, 117], [32, 117]
[91, 117], [117, 173]
[91, 117], [117, 132]
[91, 117], [16, 117]
[91, 117], [117, 290]
[91, 117], [70, 117]
[91, 117], [76, 117]
[91, 117], [36, 117]
[91, 117], [117, 130]
[91, 117], [55, 117]
[91, 117], [116, 117]
[91, 117], [117, 121]
[91, 117], [117, 227]
[91, 117], [97, 117]
[91, 117], [28, 117]
[91, 117], [41, 117]
[91, 117], [117, 125]
[91, 117], [115, 117]
[91, 117], [61, 117]
[91, 117], [33, 117]
[91, 117], [94, 117]
[91, 117], [117, 126]
[91, 117], [117, 127]
[91, 117], [38, 117]
[91, 117], [4, 117]
[91, 117], [29, 117]
[91, 117], [47, 117]
[114, 117], [117, 250]
[114, 117], [101, 117]
[114, 117], [49, 117]
[114, 117], [107, 117]
[114, 117], [117, 178]
[114, 117], [48, 117]
[114, 117], [64, 117]
[114, 117], [17, 117]
[114, 117], [32, 117]
[114, 117], [117, 173]
[114, 117], [117, 132]
[114, 117], [16, 117]
[114, 117], [117, 290]
[114, 117], [70, 117]
[114, 117], [76, 117]
[114, 117], [36, 117]
[114, 117], [117, 130]
[114, 117], [55, 117]
[114, 117], [116, 117]
[114, 117], [117, 121]
[114, 117], [117, 227]
[114, 117], [97, 117]
[114, 117], [28, 117]
[114, 117], [41, 117]
[114, 117], [117, 125]
[114, 117], [115, 117]
[114, 117], [61, 117]
[114, 117], [33, 117]
[114, 117], [94, 117]
[114, 117], [117, 126]
[114, 117], [117, 127]
[114, 117], [38, 117]
[114, 117], [4, 117]
[114, 117], [29, 117]
[114, 117], [47, 117]
[117, 250], [101, 117]
[117, 250], [49, 117]
[117, 250], [107, 117]
[117, 250], [117, 178]
[117, 250], [48, 117]
[117, 250], [64, 117]
[117, 250], [17, 117]
[117, 250], [32, 117]
[117, 250], [117, 173]
[117, 250], [117, 132]
[117, 250], [16, 117]
[117, 250], [117, 290]
[117, 250], [70, 117]
[117, 250], [76, 117]
[117, 250], [36, 117]
[117, 250], [117, 130]
[117, 250], [55, 117]
[117, 250], [116, 117]
[117, 250], [117, 121]
[117, 250], [117, 227]
[117, 250], [97, 117]
[117, 250], [28, 117]
[117, 250], [41, 117]
[117, 250], [117, 125]
[117, 250], [115, 117]
[117, 250], [61, 117]
[117, 250], [33, 117]
[117, 250], [94, 117]
[117, 250], [117, 126]
[117, 250], [117, 127]
[117, 250], [38, 117]
[117, 250], [4, 117]
[117, 250], [29, 117]
[117, 250], [47, 117]
[101, 117], [49, 117]
[101, 117], [107, 117]
[101, 117], [117, 178]
[101, 117], [48, 117]
[101, 117], [64, 117]
[101, 117], [17, 117]
[101, 117], [32, 117]
[101, 117], [117, 173]
[101, 117], [117, 132]
[101, 117], [16, 117]
[101, 117], [117, 290]
[101, 117], [70, 117]
[101, 117], [76, 117]
[101, 117], [36, 117]
[101, 117], [117, 130]
[101, 117], [55, 117]
[101, 117], [116, 117]
[101, 117], [117, 121]
[101, 117], [117, 227]
[101, 117], [97, 117]
[101, 117], [28, 117]
[101, 117], [41, 117]
[101, 117], [117, 125]
[101, 117], [115, 117]
[101, 117], [61, 117]
[101, 117], [33, 117]
[101, 117], [94, 117]
[101, 117], [117, 126]
[101, 117], [117, 127]
[101, 117], [38, 117]
[101, 117], [4, 117]
[101, 117], [29, 117]
[101, 117], [47, 117]
[49, 117], [107, 117]
[49, 117], [117, 178]
[49, 117], [48, 117]
[49, 117], [64, 117]
[49, 117], [17, 117]
[49, 117], [32, 117]
[49, 117], [117, 173]
[49, 117], [117, 132]
[49, 117], [16, 117]
[49, 117], [117, 290]
[49, 117], [70, 117]
[49, 117], [76, 117]
[49, 117], [36, 117]
[49, 117], [117, 130]
[49, 117], [55, 117]
[49, 117], [116, 117]
[49, 117], [117, 121]
[49, 117], [117, 227]
[49, 117], [97, 117]
[49, 117], [28, 117]
[49, 117], [41, 117]
[49, 117], [117, 125]
[49, 117], [115, 117]
[49, 117], [61, 117]
[49, 117], [33, 117]
[49, 117], [94, 117]
[49, 117], [117, 126]
[49, 117], [117, 127]
[49, 117], [38, 117]
[49, 117], [4, 117]
[49, 117], [29, 117]
[49, 117], [47, 117]
[107, 117], [117, 178]
[107, 117], [48, 117]
[107, 117], [64, 117]
[107, 117], [17, 117]
[107, 117], [32, 117]
[107, 117], [117, 173]
[107, 117], [117, 132]
