[205, 258, 292], [205, 258, 269]
[64, 65, 130], [64, 65, 114]
[64, 65, 130], [61, 64, 65]
[64, 65, 130], [64, 65, 115]
[64, 65, 130], [64, 65, 116]
[33, 64, 65], [64, 65, 121]
[33, 64, 65], [64, 65, 114]
[33, 64, 65], [61, 64, 65]
[33, 64, 65], [64, 65, 115]
[33, 64, 65], [64, 65, 116]
[64, 65, 121], [64, 65, 114]
[64, 65, 121], [61, 64, 65]
[64, 65, 121], [64, 65, 115]
[64, 65, 121], [64, 65, 116]
[64, 65, 114], [61, 64, 65]
[64, 65, 114], [64, 65, 115]
[64, 65, 114], [64, 65, 116]
[61, 64, 65], [64, 65, 115]
[61, 64, 65], [64, 65, 116]
[64, 65, 115], [64, 65, 116]
[31, 175, 209], [31, 209, 266]
[31, 175, 209], [31, 206, 209]
[31, 175, 209], [31, 132, 209]
[31, 175, 209], [31, 178, 209]
[31, 175, 209], [31, 176, 209]
[31, 175, 209], [31, 179, 209]
[31, 175, 209], [31, 58, 209]
[31, 175, 209], [31, 182, 209]
[31, 209, 266], [31, 206, 209]
[31, 209, 266], [31, 132, 209]
[31, 209, 266], [31, 178, 209]
[31, 209, 266], [31, 176, 209]
[31, 209, 266], [31, 179, 209]
[31, 209, 266], [31, 58, 209]
[31, 209, 266], [31, 182, 209]
[31, 206, 209], [31, 132, 209]
[31, 206, 209], [31, 178, 209]
[31, 206, 209], [31, 176, 209]
[31, 206, 209], [31, 179, 209]
[31, 206, 209], [31, 58, 209]
[31, 206, 209], [31, 182, 209]
[31, 132, 209], [31, 178, 209]
[31, 132, 209], [31, 176, 209]
[31, 132, 209], [31, 179, 209]
[31, 132, 209], [31, 58, 209]
[31, 132, 209], [31, 182, 209]
[31, 178, 209], [31, 176, 209]
[31, 178, 209], [31, 179, 209]
[31, 178, 209], [31, 58, 209]
[31, 178, 209], [31, 182, 209]
[31, 176, 209], [31, 179, 209]
[31, 176, 209], [31, 58, 209]
[31, 176, 209], [31, 182, 209]
[31, 179, 209], [31, 58, 209]
[31, 179, 209], [31, 182, 209]
[31, 58, 209], [31, 182, 209]
[31, 175, 209], [175, 176, 209]
[186, 245, 277], [124, 186, 245]
[186, 245, 277], [135, 186, 245]
[124, 186, 245], [135, 186, 245]
[186, 245, 277], [82, 186, 277]
[186, 245, 277], [43, 186, 277]
[186, 245, 277], [163, 186, 277]
[186, 245, 277], [56, 186, 277]
[186, 245, 277], [127, 186, 277]
[186, 245, 277], [135, 186, 277]
[186, 245, 277], [83, 186, 277]
[186, 245, 277], [111, 186, 277]
[186, 245, 277], [124, 186, 277]
[82, 186, 277], [43, 186, 277]
[82, 186, 277], [163, 186, 277]
[82, 186, 277], [56, 186, 277]
[82, 186, 277], [127, 186, 277]
[82, 186, 277], [135, 186, 277]
[82, 186, 277], [83, 186, 277]
[82, 186, 277], [111, 186, 277]
[82, 186, 277], [124, 186, 277]
[43, 186, 277], [163, 186, 277]
[43, 186, 277], [56, 186, 277]
[43, 186, 277], [127, 186, 277]
[43, 186, 277], [135, 186, 277]
[43, 186, 277], [83, 186, 277]
[43, 186, 277], [111, 186, 277]
[43, 186, 277], [124, 186, 277]
[163, 186, 277], [56, 186, 277]
[163, 186, 277], [127, 186, 277]
[163, 186, 277], [135, 186, 277]
[163, 186, 277], [83, 186, 277]
[163, 186, 277], [111, 186, 277]
[163, 186, 277], [124, 186, 277]
[56, 186, 277], [127, 186, 277]
[56, 186, 277], [135, 186, 277]
[56, 186, 277], [83, 186, 277]
[56, 186, 277], [111, 186, 277]
[56, 186, 277], [124, 186, 277]
[127, 186, 277], [135, 186, 277]
[127, 186, 277], [83, 186, 277]
[127, 186, 277], [111, 186, 277]
[127, 186, 277], [124, 186, 277]
[135, 186, 277], [83, 186, 277]
[135, 186, 277], [111, 186, 277]
[135, 186, 277], [124, 186, 277]
[83, 186, 277], [111, 186, 277]
[83, 186, 277], [124, 186, 277]
[111, 186, 277], [124, 186, 277]
[186, 245, 277], [82, 245, 277]
[186, 245, 277], [245, 261, 277]
[186, 245, 277], [237, 245, 277]
[186, 245, 277], [135, 245, 277]
[186, 245, 277], [124, 245, 277]
[186, 245, 277], [111, 245, 277]
[186, 245, 277], [245, 267, 277]
[82, 245, 277], [245, 261, 277]
[82, 245, 277], [237, 245, 277]
[82, 245, 277], [135, 245, 277]
[82, 245, 277], [124, 245, 277]
[82, 245, 277], [111, 245, 277]
[82, 245, 277], [245, 267, 277]
[245, 261, 277], [237, 245, 277]
[245, 261, 277], [135, 245, 277]
[245, 261, 277], [124, 245, 277]
[245, 261, 277], [111, 245, 277]
[245, 261, 277], [245, 267, 277]
[237, 245, 277], [135, 245, 277]
[237, 245, 277], [124, 245, 277]
[237, 245, 277], [111, 245, 277]
[237, 245, 277], [245, 267, 277]
[135, 245, 277], [124, 245, 277]
[135, 245, 277], [111, 245, 277]
[135, 245, 277], [245, 267, 277]
[124, 245, 277], [111, 245, 277]
[124, 245, 277], [245, 267, 277]
[111, 245, 277], [245, 267, 277]
[30, 175, 193], [30, 175, 186]
[30, 175, 193], [30, 57, 175]
[30, 175, 186], [30, 57, 175]
[30, 175, 193], [30, 186, 193]
[30, 175, 193], [30, 122, 193]
[30, 175, 193], [30, 58, 193]
[30, 175, 193], [30, 77, 193]
[30, 186, 193], [30, 122, 193]
[30, 186, 193], [30, 58, 193]
[30, 186, 193], [30, 77, 193]
[30, 122, 193], [30, 58, 193]
[30, 122, 193], [30, 77, 193]
[30, 58, 193], [30, 77, 193]
[30, 175, 193], [175, 176, 193]
[71, 72, 167], [71, 72, 196]
[71, 72, 167], [71, 72, 194]
[71, 72, 167], [71, 72, 81]
[71, 72, 167], [71, 72, 326]
[71, 72, 167], [71, 72, 80]
[71, 72, 196], [71, 72, 194]
[71, 72, 196], [71, 72, 81]
[71, 72, 196], [71, 72, 326]
[71, 72, 196], [71, 72, 80]
[71, 72, 194], [71, 72, 81]
[71, 72, 194], [71, 72, 326]
[71, 72, 194], [71, 72, 80]
[71, 72, 81], [71, 72, 326]
[71, 72, 81], [71, 72, 80]
[71, 72, 326], [71, 72, 80]
[71, 72, 167], [71, 153, 167]
[71, 72, 167], [71, 128, 167]
[71, 72, 167], [71, 80, 167]
[71, 72, 167], [47, 71, 167]
[71, 72, 167], [71, 155, 167]
[71, 72, 167], [40, 71, 167]
[71, 72, 167], [71, 102, 167]
[71, 72, 167], [21, 71, 167]
[71, 72, 167], [22, 71, 167]
[71, 72, 167], [71, 109, 167]
[71, 153, 167], [71, 128, 167]
[71, 153, 167], [71, 80, 167]
[71, 153, 167], [47, 71, 167]
[71, 153, 167], [71, 155, 167]
[71, 153, 167], [40, 71, 167]
[71, 153, 167], [71, 102, 167]
[71, 153, 167], [21, 71, 167]
[71, 153, 167], [22, 71, 167]
[71, 153, 167], [71, 109, 167]
[71, 128, 167], [71, 80, 167]
[71, 128, 167], [47, 71, 167]
[71, 128, 167], [71, 155, 167]
[71, 128, 167], [40, 71, 167]
[71, 128, 167], [71, 102, 167]
[71, 128, 167], [21, 71, 167]
[71, 128, 167], [22, 71, 167]
[71, 128, 167], [71, 109, 167]
[71, 80, 167], [47, 71, 167]
[71, 80, 167], [71, 155, 167]
[71, 80, 167], [40, 71, 167]
[71, 80, 167], [71, 102, 167]
[71, 80, 167], [21, 71, 167]
[71, 80, 167], [22, 71, 167]
[71, 80, 167], [71, 109, 167]
[47, 71, 167], [71, 155, 167]
[47, 71, 167], [40, 71, 167]
[47, 71, 167], [71, 102, 167]
[47, 71, 167], [21, 71, 167]
[47, 71, 167], [22, 71, 167]
[47, 71, 167], [71, 109, 167]
[71, 155, 167], [40, 71, 167]
[71, 155, 167], [71, 102, 167]
[71, 155, 167], [21, 71, 167]
[71, 155, 167], [22, 71, 167]
[71, 155, 167], [71, 109, 167]
[40, 71, 167], [71, 102, 167]
[40, 71, 167], [21, 71, 167]
[40, 71, 167], [22, 71, 167]
[40, 71, 167], [71, 109, 167]
[71, 102, 167], [21, 71, 167]
[71, 102, 167], [22, 71, 167]
[71, 102, 167], [71, 109, 167]
[21, 71, 167], [22, 71, 167]
[21, 71, 167], [71, 109, 167]
[22, 71, 167], [71, 109, 167]
[71, 72, 167], [40, 72, 167]
[71, 72, 167], [72, 153, 167]
[71, 72, 167], [72, 155, 167]
[40, 72, 167], [72, 153, 167]
[40, 72, 167], [72, 155, 167]
[72, 153, 167], [72, 155, 167]
[126, 174, 317], [126, 174, 177]
[126, 174, 317], [126, 174, 194]
[126, 174, 317], [126, 174, 195]
[126, 174, 317], [100, 126, 174]
[126, 174, 317], [126, 170, 174]
[126, 174, 317], [98, 126, 174]
[126, 174, 317], [99, 126, 174]
[126, 174, 177], [126, 174, 194]
[126, 174, 177], [126, 174, 195]
[126, 174, 177], [100, 126, 174]
[126, 174, 177], [126, 170, 174]
[126, 174, 177], [98, 126, 174]
[126, 174, 177], [99, 126, 174]
[126, 174, 194], [126, 174, 195]
[126, 174, 194], [100, 126, 174]
[126, 174, 194], [126, 170, 174]
[126, 174, 194], [98, 126, 174]
[126, 174, 194], [99, 126, 174]
[126, 174, 195], [100, 126, 174]
[126, 174, 195], [126, 170, 174]
[126, 174, 195], [98, 126, 174]
[126, 174, 195], [99, 126, 174]
[100, 126, 174], [126, 170, 174]
[100, 126, 174], [98, 126, 174]
[100, 126, 174], [99, 126, 174]
[126, 170, 174], [98, 126, 174]
[126, 170, 174], [99, 126, 174]
[98, 126, 174], [99, 126, 174]
[126, 174, 317], [49, 126, 317]
[126, 174, 317], [126, 177, 317]
[126, 174, 317], [126, 188, 317]
[126, 174, 317], [59, 126, 317]
[126, 174, 317], [100, 126, 317]
[126, 174, 317], [126, 185, 317]
[126, 174, 317], [126, 170, 317]
[126, 174, 317], [98, 126, 317]
[126, 174, 317], [60, 126, 317]
[126, 174, 317], [126, 196, 317]
[49, 126, 317], [126, 177, 317]
[49, 126, 317], [126, 188, 317]
[49, 126, 317], [59, 126, 317]
[49, 126, 317], [100, 126, 317]
[49, 126, 317], [126, 185, 317]
[49, 126, 317], [126, 170, 317]
[49, 126, 317], [98, 126, 317]
[49, 126, 317], [60, 126, 317]
[49, 126, 317], [126, 196, 317]
[126, 177, 317], [126, 188, 317]
[126, 177, 317], [59, 126, 317]
[126, 177, 317], [100, 126, 317]
[126, 177, 317], [126, 185, 317]
[126, 177, 317], [126, 170, 317]
[126, 177, 317], [98, 126, 317]
[126, 177, 317], [60, 126, 317]
[126, 177, 317], [126, 196, 317]
[126, 188, 317], [59, 126, 317]
[126, 188, 317], [100, 126, 317]
[126, 188, 317], [126, 185, 317]
[126, 188, 317], [126, 170, 317]
[126, 188, 317], [98, 126, 317]
[126, 188, 317], [60, 126, 317]
[126, 188, 317], [126, 196, 317]
[59, 126, 317], [100, 126, 317]
[59, 126, 317], [126, 185, 317]
[59, 126, 317], [126, 170, 317]
[59, 126, 317], [98, 126, 317]
[59, 126, 317], [60, 126, 317]
[59, 126, 317], [126, 196, 317]
[100, 126, 317], [126, 185, 317]
[100, 126, 317], [126, 170, 317]
[100, 126, 317], [98, 126, 317]
[100, 126, 317], [60, 126, 317]
[100, 126, 317], [126, 196, 317]
[126, 185, 317], [126, 170, 317]
[126, 185, 317], [98, 126, 317]
[126, 185, 317], [60, 126, 317]
[126, 185, 317], [126, 196, 317]
[126, 170, 317], [98, 126, 317]
[126, 170, 317], [60, 126, 317]
[126, 170, 317], [126, 196, 317]
[98, 126, 317], [60, 126, 317]
[98, 126, 317], [126, 196, 317]
[60, 126, 317], [126, 196, 317]
[126, 174, 317], [170, 174, 317]
[126, 174, 317], [174, 177, 317]
[126, 174, 317], [98, 174, 317]
[170, 174, 317], [174, 177, 317]
[170, 174, 317], [98, 174, 317]
[174, 177, 317], [98, 174, 317]
[152, 169, 213], [149, 152, 169]
[152, 169, 213], [152, 167, 169]
[149, 152, 169], [152, 167, 169]
[152, 169, 213], [71, 152, 213]
[22, 279, 323], [22, 75, 279]
[22, 279, 323], [2, 22, 279]
[22, 279, 323], [22, 27, 279]
[22, 75, 279], [2, 22, 279]
[22, 75, 279], [22, 27, 279]
[2, 22, 279], [22, 27, 279]
[22, 279, 323], [21, 22, 323]
[22, 279, 323], [22, 152, 323]
[22, 279, 323], [22, 27, 323]
[22, 279, 323], [22, 155, 323]
[22, 279, 323], [22, 75, 323]
[21, 22, 323], [22, 152, 323]
[21, 22, 323], [22, 27, 323]
[21, 22, 323], [22, 155, 323]
[21, 22, 323], [22, 75, 323]
[22, 152, 323], [22, 27, 323]
[22, 152, 323], [22, 155, 323]
[22, 152, 323], [22, 75, 323]
[22, 27, 323], [22, 155, 323]
[22, 27, 323], [22, 75, 323]
[22, 155, 323], [22, 75, 323]
[207, 227, 294], [207, 215, 227]
[207, 227, 294], [227, 294, 326]
[37, 88, 239], [88, 176, 239]
[37, 88, 239], [88, 122, 239]
[37, 88, 239], [88, 239, 261]
[88, 176, 239], [88, 122, 239]
[88, 176, 239], [88, 239, 261]
[88, 122, 239], [88, 239, 261]
[136, 144, 272], [136, 144, 305]
[136, 144, 272], [136, 144, 202]
[136, 144, 272], [136, 142, 144]
[136, 144, 305], [136, 144, 202]
[136, 144, 305], [136, 142, 144]
[136, 144, 202], [136, 142, 144]
[136, 144, 272], [136, 202, 272]
[136, 144, 272], [136, 272, 285]
[136, 144, 272], [11, 136, 272]
[136, 144, 272], [136, 272, 273]
[136, 144, 272], [136, 272, 305]
[136, 144, 272], [136, 145, 272]
[136, 202, 272], [136, 272, 285]
[136, 202, 272], [11, 136, 272]
[136, 202, 272], [136, 272, 273]
[136, 202, 272], [136, 272, 305]
[136, 202, 272], [136, 145, 272]
[136, 272, 285], [11, 136, 272]
[136, 272, 285], [136, 272, 273]
[136, 272, 285], [136, 272, 305]
[136, 272, 285], [136, 145, 272]
[11, 136, 272], [136, 272, 273]
[11, 136, 272], [136, 272, 305]
[11, 136, 272], [136, 145, 272]
[136, 272, 273], [136, 272, 305]
[136, 272, 273], [136, 145, 272]
[136, 272, 305], [136, 145, 272]
[136, 144, 272], [141, 144, 272]
[136, 144, 272], [144, 272, 281]
[136, 144, 272], [144, 272, 280]
[136, 144, 272], [144, 272, 301]
[136, 144, 272], [144, 265, 272]
[136, 144, 272], [144, 272, 305]
[141, 144, 272], [144, 272, 281]
[141, 144, 272], [144, 272, 280]
[141, 144, 272], [144, 272, 301]
[141, 144, 272], [144, 265, 272]
[141, 144, 272], [144, 272, 305]
[144, 272, 281], [144, 272, 280]
[144, 272, 281], [144, 272, 301]
[144, 272, 281], [144, 265, 272]
[144, 272, 281], [144, 272, 305]
[144, 272, 280], [144, 272, 301]
[144, 272, 280], [144, 265, 272]
[144, 272, 280], [144, 272, 305]
[144, 272, 301], [144, 265, 272]
[144, 272, 301], [144, 272, 305]
[144, 265, 272], [144, 272, 305]
[30, 186, 193], [30, 175, 186]
[30, 186, 193], [30, 58, 186]
[30, 175, 186], [30, 58, 186]
[101, 210, 221], [78, 101, 210]
[101, 210, 221], [101, 210, 220]
[78, 101, 210], [101, 210, 220]
[101, 210, 221], [101, 163, 221]
[101, 210, 221], [101, 220, 221]
[101, 163, 221], [101, 220, 221]
[101, 210, 221], [122, 210, 221]
[51, 73, 196], [51, 73, 173]
[51, 73, 196], [49, 73, 196]
[51, 73, 196], [73, 188, 196]
[51, 73, 196], [73, 171, 196]
[51, 73, 196], [60, 73, 196]
[51, 73, 196], [73, 160, 196]
[51, 73, 196], [73, 177, 196]
[51, 73, 196], [73, 184, 196]
[51, 73, 196], [73, 187, 196]
[51, 73, 196], [73, 170, 196]
[51, 73, 196], [22, 73, 196]
[51, 73, 196], [73, 173, 196]
[51, 73, 196], [73, 118, 196]
[51, 73, 196], [72, 73, 196]
[49, 73, 196], [73, 188, 196]
[49, 73, 196], [73, 171, 196]
[49, 73, 196], [60, 73, 196]
[49, 73, 196], [73, 160, 196]
[49, 73, 196], [73, 177, 196]
[49, 73, 196], [73, 184, 196]
[49, 73, 196], [73, 187, 196]
[49, 73, 196], [73, 170, 196]
[49, 73, 196], [22, 73, 196]
[49, 73, 196], [73, 173, 196]
[49, 73, 196], [73, 118, 196]
[49, 73, 196], [72, 73, 196]
[73, 188, 196], [73, 171, 196]
[73, 188, 196], [60, 73, 196]
[73, 188, 196], [73, 160, 196]
[73, 188, 196], [73, 177, 196]
[73, 188, 196], [73, 184, 196]
[73, 188, 196], [73, 187, 196]
[73, 188, 196], [73, 170, 196]
[73, 188, 196], [22, 73, 196]
[73, 188, 196], [73, 173, 196]
[73, 188, 196], [73, 118, 196]
[73, 188, 196], [72, 73, 196]
[73, 171, 196], [60, 73, 196]
[73, 171, 196], [73, 160, 196]
[73, 171, 196], [73, 177, 196]
[73, 171, 196], [73, 184, 196]
[73, 171, 196], [73, 187, 196]
[73, 171, 196], [73, 170, 196]
[73, 171, 196], [22, 73, 196]
[73, 171, 196], [73, 173, 196]
[73, 171, 196], [73, 118, 196]
[73, 171, 196], [72, 73, 196]
[60, 73, 196], [73, 160, 196]
[60, 73, 196], [73, 177, 196]
[60, 73, 196], [73, 184, 196]
[60, 73, 196], [73, 187, 196]
[60, 73, 196], [73, 170, 196]
[60, 73, 196], [22, 73, 196]
[60, 73, 196], [73, 173, 196]
[60, 73, 196], [73, 118, 196]
[60, 73, 196], [72, 73, 196]
[73, 160, 196], [73, 177, 196]
[73, 160, 196], [73, 184, 196]
[73, 160, 196], [73, 187, 196]
[73, 160, 196], [73, 170, 196]
[73, 160, 196], [22, 73, 196]
[73, 160, 196], [73, 173, 196]
[73, 160, 196], [73, 118, 196]
[73, 160, 196], [72, 73, 196]
[73, 177, 196], [73, 184, 196]
[73, 177, 196], [73, 187, 196]
[73, 177, 196], [73, 170, 196]
[73, 177, 196], [22, 73, 196]
[73, 177, 196], [73, 173, 196]
[73, 177, 196], [73, 118, 196]
[73, 177, 196], [72, 73, 196]
[73, 184, 196], [73, 187, 196]
[73, 184, 196], [73, 170, 196]
[73, 184, 196], [22, 73, 196]
[73, 184, 196], [73, 173, 196]
[73, 184, 196], [73, 118, 196]
[73, 184, 196], [72, 73, 196]
[73, 187, 196], [73, 170, 196]
[73, 187, 196], [22, 73, 196]
[73, 187, 196], [73, 173, 196]
[73, 187, 196], [73, 118, 196]
[73, 187, 196], [72, 73, 196]
[73, 170, 196], [22, 73, 196]
[73, 170, 196], [73, 173, 196]
[73, 170, 196], [73, 118, 196]
[73, 170, 196], [72, 73, 196]
[22, 73, 196], [73, 173, 196]
[22, 73, 196], [73, 118, 196]
[22, 73, 196], [72, 73, 196]
[73, 173, 196], [73, 118, 196]
[73, 173, 196], [72, 73, 196]
[73, 118, 196], [72, 73, 196]
[41, 76, 92], [41, 76, 107]
[41, 76, 92], [41, 76, 85]
[41, 76, 92], [41, 42, 76]
[41, 76, 92], [41, 76, 97]
[41, 76, 92], [28, 41, 76]
[41, 76, 92], [41, 48, 76]
[41, 76, 92], [41, 76, 91]
[41, 76, 92], [41, 66, 76]
