[235, 249]
[282, 688]
[440, 562]
[73, 96]
[256, 514]
[271, 703]
[605, 929]
[481, 652]
[373, 423]
[5, 531]
[313, 470]
[435, 846]
[62, 553]
[479, 844]
[65, 160]
[613, 615]
[163, 636]
[84, 975]
[221, 705]
[299, 307]
[18, 86]
[233, 337]
[534, 740]
[840, 887]
[168, 773]
[184, 524]
[24, 168]
[44, 535]
[53, 568]
[606, 712]
[26, 36]
[265, 592]
[142, 968]
[6, 139]
[459, 664]
[355, 723]
[34, 921]
[72, 119]
[555, 667]
[354, 872]
[152, 763]
[86, 397]
[45, 355]
[132, 329]
[612, 889]
[282, 384]
[210, 899]
[614, 643]
[289, 593]
[45, 76]
[93, 230]
[133, 200]
[91, 795]
[666, 901]
[25, 685]
[139, 545]
[690, 996]
[128, 615]
[39, 371]
[95, 358]
[414, 928]
[124, 259]
[157, 579]
[374, 908]
[29, 821]
[164, 466]
[345, 913]
[182, 466]
[237, 386]
[187, 734]
[324, 421]
[56, 773]
[147, 288]
[69, 318]
[35, 958]
[87, 461]
[379, 976]
[385, 512]
[71, 360]
[92, 752]
[41, 582]
[50, 447]
[6, 8]
[150, 171]
[203, 990]
[325, 440]
[568, 645]
[502, 721]
[489, 779]
[198, 359]
[250, 311]
[100, 139]
[358, 871]
[82, 781]
[22, 505]
[64, 262]
[158, 343]
[255, 385]
[118, 237]
[372, 427]
[471, 763]
[200, 607]
[39, 65]
[715, 964]
[82, 246]
[24, 977]
[18, 590]
[126, 319]
[19, 217]
[332, 499]
[217, 785]
[119, 425]
[14, 157]
[822, 904]
[32, 64]
[179, 870]
[228, 538]
[52, 947]
[35, 794]
[11, 56]
[45, 224]
[415, 708]
[7, 821]
[131, 224]
[156, 802]
[94, 642]
[540, 921]
[314, 960]
[90, 653]
[43, 823]
[72, 169]
[44, 667]
[113, 425]
[28, 136]
[223, 352]
[503, 699]
[140, 581]
[309, 665]
[8, 61]
[447, 552]
[539, 676]
[116, 260]
[423, 702]
[39, 103]
[14, 585]
[166, 593]
[178, 516]
[315, 486]
[305, 646]
[318, 350]
[403, 405]
[464, 552]
[25, 349]
[323, 368]
[1, 944]
[50, 981]
[459, 519]
[87, 546]
[310, 953]
[208, 297]
[5, 773]
[54, 700]
[181, 457]
[316, 506]
[15, 256]
[356, 810]
[495, 555]
[4, 67]
[256, 318]
[400, 607]
[129, 347]
[629, 734]
[355, 693]
[185, 493]
[48, 549]
[826, 900]
[164, 594]
[123, 161]
[443, 707]
[233, 334]
[70, 238]
[314, 932]
[9, 296]
[108, 909]
[422, 478]
[316, 799]
[223, 792]
[259, 809]
[214, 854]
[395, 864]
[125, 554]
[649, 867]
[83, 925]
[153, 185]
[416, 438]
[195, 907]
[45, 660]
[58, 94]
[174, 872]
[26, 150]
[202, 523]
[129, 711]
[844, 980]
[611, 906]
[172, 320]
[115, 640]
[653, 663]
[74, 545]
[239, 243]
[110, 797]
[110, 429]
[897, 995]
[678, 798]
[218, 335]
[323, 356]
[70, 704]
[73, 443]
[288, 974]
[83, 329]
[41, 559]
[475, 506]
[165, 444]
[149, 960]
[634, 792]
[16, 209]
[93, 200]
[451, 640]
[364, 601]
[635, 670]
[436, 578]
[304, 453]
[38, 353]
[95, 836]
[7, 533]
[815, 829]
[41, 866]
[44, 926]
[367, 389]
[317, 438]
[280, 995]
[320, 820]
[72, 129]
[935, 976]
[70, 240]
[287, 608]
[154, 237]
[4, 309]
[90, 354]
[12, 199]
[8, 190]
[126, 412]
[313, 516]
[264, 384]
[11, 973]
[131, 876]
[162, 213]
[238, 541]
[187, 394]
[13, 444]
[30, 555]
[27, 246]
[219, 454]
[3, 267]
[216, 463]
[446, 744]
[117, 335]
[454, 731]
[113, 240]
[54, 551]
[215, 543]
[245, 287]
[60, 988]
[122, 211]
[23, 94]
[269, 332]
[79, 651]
[267, 758]
[97, 138]
[2, 182]
[152, 789]
[511, 588]
[595, 999]
[126, 284]
[46, 663]
[132, 218]
[459, 932]
[69, 271]
[327, 962]
[228, 611]
[617, 760]
[44, 631]
[419, 855]
[149, 891]
[798, 864]
[793, 887]
[253, 623]
[162, 681]
[491, 632]
[84, 980]
[398, 498]
[103, 264]
[202, 349]
[229, 359]
[276, 616]
[337, 439]
[97, 309]
[214, 247]
[51, 78]
[531, 757]
[104, 285]
[43, 186]
[257, 409]
[130, 183]
[504, 830]
[767, 967]
[32, 671]
[38, 171]
[242, 306]
[374, 509]
[18, 842]
[153, 349]
[67, 318]
[315, 518]
[211, 774]
[296, 503]
[80, 604]
[4, 214]
[270, 795]
[510, 742]
[59, 222]
[241, 384]
[18, 981]
[11, 171]
[386, 446]
[614, 749]
[235, 353]
[481, 596]
[101, 107]
[534, 880]
[103, 772]
[544, 734]
[109, 697]
[394, 618]
[339, 839]
[939, 984]
[109, 854]
[168, 808]
[207, 687]
[307, 636]
[124, 433]
[164, 577]
[495, 759]
[284, 370]
[447, 715]
[232, 472]
[111, 278]
[382, 868]
[581, 988]
[190, 420]
[102, 401]
[61, 969]
[81, 739]
[391, 575]
[197, 828]
[373, 877]
[707, 819]
[31, 754]
[24, 115]
[80, 553]
[45, 123]
[209, 446]
[31, 138]
[800, 973]
[31, 555]
[22, 410]
[35, 986]
[189, 428]
[51, 392]
[1, 599]
[431, 742]
[193, 778]
[534, 887]
[75, 391]
[339, 457]
[98, 402]
[496, 573]
[157, 358]
[591, 645]
[163, 239]
[36, 429]
[190, 279]
[231, 688]
[259, 510]
[590, 594]
[643, 866]
[5, 233]
[135, 577]
[40, 480]
[348, 969]
[455, 735]
[126, 321]
[709, 910]
[396, 596]
[148, 905]
[141, 894]
[551, 778]
[330, 818]
[827, 880]
[77, 783]
[133, 294]
[271, 360]
[193, 769]
[239, 246]
[13, 608]
[212, 796]
[348, 579]
[154, 433]
[786, 810]
[49, 54]
[662, 802]
[274, 991]
[288, 765]
[52, 907]
[84, 381]
[478, 753]
